Start,End,Text,Character,SentenceIndex
656.155,658.275,"If I didn't, I should go to an ENT doctor.",3.0,211
658.616,659.986,"Hey, by the way,",3.0,212
660.701,662.501,your vocalization is really nice.,3.0,213
662.87,664.16,You have perfect pitch.,3.0,214
664.497,666.497,I'm the band's vocalist for a reason.,5.0,215
670.92,672.38,That... Gosh.,3.0,216
680.554,683.274,"A cold cup of iced Americano, please.",4.0,217
683.349,685.179,Iced Americano is already cold.,2.0,218
685.267,688.437,"-They mean the same thing. -Yes, they do. So just pick one.",2.0,219
689.438,690.978,You pay for this. Bye.,2.0,220
693.15,694.53,"Gosh, that rude jerk.",4.0,221
694.61,695.9,I'm sorry.,4.0,222
695.986,700.946,A cold cup of iced Americano and that jerk's chocolate milk.,4.0,223
701.033,703.663,"And the scone, too.",4.0,224
703.786,705.406,"I came to the hospital, so I could live.",,225
705.496,707.456,Did you think I came here to die?,,226
707.873,711.593,"You know what? When someone is in pain, you should give them painkillers",,227
711.669,714.419,or check if everything's okay with the surgical wound.,,228
714.505,716.795,You just come here once or twice a day. Is that all you do?,,229
716.882,717.972,Is that all?,,230
718.05,719.51,"Excuse me. When you scream like this,",,231
719.593,721.643,you make other patients uncomfortable.,,232
721.721,724.471,I'm in pain! I said I'm in severe pain!,,233
724.64,728.06,"If a patient is in so much pain, shouldn't you do something about it?",,234
729.645,730.765,Dr. Chae.,,235
731.439,734.149,They need to dress the wound three times a day.,,236
734.233,736.653,Dressing it twice won't disinfect the wound enough.,,237
736.736,739.656,I'll tell them to take better care of you. Please don't be upset.,5.0,238
740.614,743.084,If you say so.,,239
744.076,746.696,It would've been great if you'd done a better job from the start.,,240
748.622,749.872,Do you have urination problems?,5.0,241
749.957,751.707,No. It's all good.,,242
751.792,753.632,I pee just the right amount.,,243
754.211,755.131,"Okay, then.",,244
760.217,761.637,Discharge the patient.,5.0,245
761.719,762.719,Pardon?,,246
762.887,764.347,Didn't you hear her voice just now?,5.0,247
764.43,765.77,She's full of energy.,5.0,248
765.848,767.978,She's all better now. Let's discharge her.,5.0,249
768.058,768.888,Okay.,,250
770.102,772.562,The patient's INR is off the charts! What were you doing?,2.0,251
772.855,773.895,I'm sorry.,,252
773.981,775.111,Is that all?,2.0,253
775.191,777.071,Didn't I tell you to check his INR,2.0,254
777.151,779.241,and give him two FFPs if his INR went over two?,2.0,255
779.528,782.568,I even told you the number of FFPs because you can't do that yourself.,2.0,256
782.656,784.156,You should've followed my orders.,2.0,257
784.241,785.531,Doctor.,,258
786.41,788.66,I came here because my heart is not well.,,259
789.246,792.286,But my heart is about to explode right now.,,260
792.958,793.878,I'm sorry.,2.0,261
794.46,795.54,"Do your job, please.",2.0,262
799.673,801.513,"Doctor, are you all right?",,263
802.76,803.76,Yes.,,264
804.47,806.18,Is there anything else?,,265
806.263,808.273,No. I'm fine.,,266
809.058,810.768,I'm sorry. You got scolded because of me.,,267
811.268,813.018,"My gosh, I got scolded because I messed up.",,268
814.188,815.018,Sorry?,,269
815.606,817.816,I'll come back after my meal.,,270
826.325,828.615,Is Dr. Yong here?,,271
828.702,831.412,"What brings you all the way to NS, Jae-hak?",,272
831.497,834.457,Say hello to the chief resident for CS. It's Dr. Do Jae-hak.,,273
834.542,835.582,-Hello. -Hello.,,274
835.668,839.048,"-Are these the med students? -Yes. Guys, sit down.",,275
839.129,839.959,-Okay. -Okay.,,276
840.047,842.507,They are med students. Our department has them this week.,,277
843.801,845.221,"He looks pretty old, doesn't he?",,278
845.302,847.052,He started college before some professors.,,279
847.137,847.967,"No, I didn't.",,280
848.055,850.015,I took the CSAT four times and the bar exam six times.,,281
850.099,852.229,Memorize that. Let's go eat.,,282
852.309,854.189,Eat? What's that?,,283
854.27,856.44,I must attend the conference for Gong Hyeong-u's surgery.,,284
856.522,858.572,"I know him. The good Samaritan, Gong Hyeong-u.",,285
858.649,860.109,He was a subway homeless guy.,,286
860.192,862.652,He's a hero who saved a pregnant lady from the tracks.,,287
862.736,865.486,I don't get why Chief Min is suddenly leading this surgery.,,288
865.573,867.413,This patient needs transsphenoidal surgery.,,289
867.491,870.081,Dr. Chae is the specialist for it. How could he steal that?,,290
870.16,872.66,An endoscope is inserted into the nose.,,291
872.746,875.826,"I gathered all of his data, too.",,292
876.166,878.706,It will be perfect if I do this with Dr. Chae.,,293
878.794,880.714,My gosh. Aren't you going to eat?,,294
880.796,883.296,I told you I have a conference.,,295
884.258,885.628,Dr. Heo Seon-bin. Dr. Ahn Chi-hong.,,296
885.718,887.088,They are three-year residents.,,297
887.177,888.597,-Hello. -Hello.,,298
888.679,891.429,"I've got a question for you. Are you guys a thing, too?",,299
891.515,893.805,"-No, we are not. -We are not a thing, either.",,300
893.893,896.813,Why are you always together? Captain Ahn is older than you.,,301
896.896,899.226,He's from the military academy. People are fascinating.,,302
899.315,901.065,We're close. We went to the same med school.,,303
901.15,902.4,But your genders...,,304
902.484,904.994,"-My gosh. He's so old-fashioned. -Oh, Father.",,305
905.696,907.316,That's what I should say.,,306
907.406,908.946,What am I going to do with this surgery?,,307
909.867,911.407,"Dr. Heo, take the med students with you.",,308
911.493,913.703,"Dr. Ahn, come with me to the conference.",,309
913.787,914.617,Okay.,,310
916.582,919.172,It's a large pituitary tumor.,,311
919.46,923.21,I don't think I can remove the tumor completely through the TSA.,,312
923.797,926.757,So I'll take the pterional approach to resect the tumor.,,313
928.135,930.545,"If you do, there will be a lot of bleeding.",,314
930.638,932.258,Won't that cause a brain injury?,,315
932.348,934.388,It's an unusually big tumor.,,316
934.475,936.555,It's deeply expanded into the suprasellar region.,,317
936.644,938.444,It's better if I take the pterional approach.,,318
938.52,940.81,But I still believe the TSA is a better approach.,,319
940.898,942.518,"He'll need radiation therapy later,",,320
942.608,945.148,"but given that he has diabetes and his wounds will heal slowly,",,321
945.235,946.645,performing a craniotomy is too much.,,322
946.737,949.157,We must remove the tumor completely.,,323
949.657,952.697,The first thing the press asks will be the result of the surgery.,,324
952.785,956.575,"If we say some of the tumor remains and he might undergo radiation therapy,",,325
956.664,958.874,what do you think those reporters will write?,,326
959.458,961.288,It will only ruin the hospital's reputation.,,327
961.377,964.917,Saving the patient and removing the tumor completely is important.,,328
965.005,966.215,"But if you take that approach,",,329
966.799,970.089,his optic nerves or his pituitary stalk might be damaged.,,330
970.719,973.889,I don't think you guys have much experience with this surgery.,,331
973.973,976.143,I've performed this surgery hundreds of times.,,332
976.225,978.725,"The quality of his life is important,",,333
978.811,980.521,but seeing the tumor myself,,334
980.604,982.824,and removing it completely will be much better for him.,,335
982.898,986.188,I've had a very low percentage of sequelae among my patients.,,336
986.276,987.986,Their recoveries weren't that bad.,,337
988.07,990.61,It's got to be more than a low chance of suffering from sequelae.,,338
991.115,993.825,"Even if our reputation gets ruined for a while,",,339
994.201,997.911,the patient's quality of life must be taken into account.,,340
1001.542,1003.672,Wait here. I'm going to the bank.,,341
1004.92,1006.09,"Hey, Old-timer.",,342
1006.588,1010.128,Share your wisdom with the med students. You've lived twice as long as them.,,343
1010.217,1013.137,"""Old-timer""? I'm still in my 30s.",,344
1013.22,1014.81,But you turn 40 next year.,,345
1019.893,1022.443,"All right. First off, what are your names?",,346
1023.147,1024.227,My name is Jang Hong-do.,,347
1025.232,1027.362,I bet you were good at ssireum at your school.,,348
1027.943,1030.363,What do you do for fun? Calligraphy?,,349
1031.071,1034.201,"No, I play the guitar. I'm in a band at my church.",,350
1034.283,1035.873,Not a traditional instrument?,,351
1038.787,1039.787,Sorry.,,352
1039.872,1041.372,What's your name?,,353
1041.957,1043.037,It's Yun-bok.,,354
1046.003,1047.553,Don't joke around.,,355
1048.589,1050.759,"You informed Dr. Chae, right?",,356
1050.841,1052.721,"Her phone was off, so I sent a text.",,357
1052.801,1054.681,Okay. She has a lecture today.,,358
1054.762,1056.102,She will respond soon.,,359
1056.346,1057.716,-Does she give lectures? -Yes.,,360
1057.806,1061.306,She teaches and does a lot of surgery.,,361
1061.393,1063.563,And she checks residents' papers thoroughly.,,362
1063.645,1066.895,And she attends symposiums. She goes hiking and camping on weekends.,,363
1066.982,1070.822,But she still manages to come to work at 7 a.m. She's never late.,,364
1071.487,1072.737,Is that even possible?,,365
1073.322,1075.782,That's why her nickname is Ghost. I gave her that nickname.,,366
1076.658,1079.238,She's in the lobby. She's coming with Ms. Hwang.,,367
1079.328,1080.158,See?,,368
1080.746,1084.626,There's no other explanation of how she can do everything unless she's a ghost.,,369
1084.708,1085.668,Let's go in.,,370
1089.546,1091.876,"You're known as the Ghost. And yet, your shoes are worn out.",,371
1091.965,1094.335,"-I'm the Ghost? -Yes, that's your nickname.",5.0,372
1094.426,1096.506,-Why is that? -Because you can't be human.,5.0,373
1096.595,1098.675,It's post-op day seven for Kim Ju-chan. How is he?,5.0,374
1098.764,1101.484,His wound is clean. We can take his stitches out.,,375
1101.642,1103.732,"By the way, your birthday is next week.",,376
1103.811,1105.271,I'll buy you a pair of shoes.,,377
1105.354,1107.234,This pair can last me ten more years.,5.0,378
1107.314,1109.274,It's been about ten years since I first saw them.,,379
1109.358,1111.318,You got them when you were a resident.,,380
1111.401,1113.111,You should bid farewell to your shoes.,,381
1113.654,1114.824,Who was it?,5.0,382
1115.614,1116.494,Who nicknamed me?,5.0,383
1116.573,1117.743,Yong Seok-min did.,,384
1117.825,1118.865,Got it.,5.0,385
1123.58,1124.96,My gosh.,,386
1128.293,1130.213,"You still have a long way to go,",,387
1130.295,1133.415,but make sure you choose GS for your field when you become residents.,,388
1136.593,1138.803,"Don't say, ""You mean the GS convenience store?""",,389
1139.555,1141.465,It's not the GS home-shopping network either.,,390
1141.557,1144.427,"I see. You mean, general surgery?",,391
1145.102,1146.562,That's right.,,392
1146.645,1149.935,I know there aren't a lot of residents for other fields either.,,393
1150.691,1154.111,But there are only a handful of GS residents in Korea.,,394
1154.194,1155.404,You know what?,,395
1157.114,1160.034,There has been a new dynamic to this.,,396
1163.62,1166.37,"Listen up, Jang-hwa and Hong-ryeon.",,397
1166.707,1169.207,Our names are Hong-do and Yun-bok.,,398
1169.293,1172.133,Okay. Hong-do and Yun-bok. Listen carefully.,,399
1172.838,1177.088,"Here in our hospital, there are 13 general surgeons.",,400
1177.593,1180.143,But there is only one resident.,,401
1180.22,1182.39,"Dr. Jang Gyeo-ul, what are you doing?",,402
1182.472,1186.192,She's like the only daughter of 13 dads.,,403
1186.435,1188.595,"Then, who do you think has the upper hand?",,404
1188.812,1192.482,"Guys, general surgery isn't so bad.",,405
1192.566,1194.816,"Dr. Jang, why did you come to work so early?",,406
1194.902,1196.112,I told you to take today off.,,407
1196.195,1198.485,She prepared the materials for a colorectal surgery meeting.,3.0,408
1198.572,1200.412,Don't talk to her. She's busy.,3.0,409
1200.574,1201.494,And get lost.,3.0,410
1202.659,1203.699,Go.,3.0,411
1215.505,1217.585,"My goodness. Dr. Jang, have you eaten?",3.0,412
1217.674,1219.344,I had pot noodles here earlier.,,413
1219.426,1220.336,Pot noodles?,3.0,414
1221.428,1223.218,That's not real food. Come on.,3.0,415
1223.305,1225.175,Let's go. I'll buy you a meal. Come.,3.0,416
1226.433,1229.483,"If you collapse, General Surgery will collapse, too. Come.",3.0,417
1229.561,1231.401,-I'm fine. -Really?,,418
1233.815,1235.855,You were reading Lee Yong-chan's chart.,3.0,419
1235.943,1238.243,This patient will get a liver transplant tomorrow morning.,3.0,420
1239.947,1241.777,Liver transplant. And I'm leading the surgery.,3.0,421
1243.408,1244.908,Do you want to join me?,3.0,422
1248.622,1250.212,He's an HCC patient.,,423
1251.917,1254.127,"Dr. Jang, I'm doing my rounds.",,424
1254.211,1255.421,Can you come with me?,,425
1255.504,1257.844,"-No, she can't. No. -Hey, hold on.",3.0,426
1261.051,1262.341,"You'll join me, right?",3.0,427
1262.427,1265.257,I still can't turn my head because I had to do surgery alone yesterday.,3.0,428
1266.682,1268.102,I can do it if it's in the morning.,,429
1269.101,1270.231,Really?,3.0,430
1271.061,1272.061,Really?,3.0,431
1273.981,1275.651,"There you are, Dr. Jang.",,432
1276.692,1281.072,Can you help me with my breast cancer surgery tomorrow morning?,,433
1285.033,1286.243,"Yes, I will.",,434
1288.036,1290.036,"Hey, you.",,435
1291.123,1292.543,Dr. Lee Ik-jun.,,436
1293.0,1293.83,"Hello, sir.",3.0,437
1296.044,1296.924,You know what?,,438
1297.212,1301.552,How are you such a great dancer? How?,,439
1303.051,1306.051,I have never seen anyone who's as good at singing and dancing as you,,440
1306.138,1309.928,and who knows how to have fun as much as you.,,441
1310.017,1311.477,"I'm flattered, sir.",3.0,442
1311.727,1314.347,I'll see you at the next gathering.,,443
1314.438,1315.688,-Okay. -Have a good day.,,444
1322.779,1326.829,"Dr. Jang, that means that you won't be joining me tomorrow morning, right?",3.0,445
1327.868,1329.368,I'm sorry.,,446
1330.162,1331.582,"I'll disinfect everything tomorrow,",3.0,447
1331.663,1334.333,"open the patient up, and close him up by myself.",3.0,448
1335.334,1336.344,"But next time,",3.0,449
1337.085,1338.245,please...,3.0,450
1338.337,1342.547,"Pick me, pick me, pick me up",3.0,451
1344.843,1346.933,"-Pick me, pick me, pick me up -Yes?",3.0,452
1347.304,1348.814,I'll be right there.,,453
1349.264,1351.184,-Where? Eat the sausage. -It's the ER.,3.0,454
1351.266,1353.096,Should I call Jeong-won? I heard he's not busy.,3.0,455
1353.185,1354.765,It was a personal call to me.,,456
1360.65,1361.82,"Hello, ma'am.",3.0,457
1364.321,1367.241,What? Okay. I'll be there.,3.0,458
1367.324,1368.784,Don't worry. Just go.,3.0,459
1368.867,1370.947,I'll take care of it. Yes.,3.0,460
1372.829,1374.619,"That's the Blood Collection Room, CT Scan Room,",,461
1374.706,1376.116,X-Ray Room and MRI Room.,,462
1376.208,1377.998,"If you go straight, there's the PET Scan Room.",,463
1378.585,1380.165,"You've heard of PET, right?",,464
1380.462,1382.092,PET? Like a plastic bottle?,,465
1382.422,1384.342,Positron emission tomography?,,466
1384.591,1385.471,What is that used for?,,467
1386.343,1388.603,I don't know that much yet.,,468
1388.678,1390.468,We just got into med school.,,469
1390.555,1392.515,"You guys are soulmates, aren't you?",,470
1392.599,1395.019,-Yes. -I knew it.,,471
1396.561,1399.521,"Dr. Heo, will we be going to the operating rooms?",,472
1399.981,1400.981,Someday.,,473
1401.525,1404.485,"Hui-su, I saw your Instagram post. You had a soufflé pancake yesterday.",,474
1404.569,1406.359,-Was that any good? -Totally.,,475
1406.446,1408.906,I went to the cafe at 3 p.m. after work. I didn't have to wait.,,476
1408.99,1411.08,"You should go and try it, too.",,477
1411.159,1412.909,If only I had time.,,478
1413.537,1414.657,"Can you come with me, then?",,479
1414.746,1417.456,"Actually, I should treat you to a meal for looking after my interns.",,480
1417.541,1421.041,You always treat me. It's on me next time.,,481
1424.047,1426.877,"Dr. Jang, have some cookies.",,482
1427.175,1429.215,"No, I don't like sweets.",5.0,483
1429.344,1431.014,I see. Okay.,,484
1431.805,1432.965,How old is the patient?,5.0,485
1433.056,1435.136,He's a seven-year-old and was in a traffic accident.,,486
1435.225,1437.015,And he shows signs of stupor.,,487
1437.102,1438.402,That's why I called the GS.,,488
1438.979,1439.899,I see.,5.0,489
1441.94,1442.94,Hello.,,490
1444.359,1445.609,Okay.,,491
1446.778,1447.988,It will take 20 more minutes.,,492
1448.738,1451.028,"-Then, I'll come back after my meal. -Okay.",5.0,493
1456.371,1459.041,"Guys, this isn't free. It's coming out of my paycheck.",,494
1459.124,1460.884,We had pot noodles just now.,,495
1460.959,1462.589,Thank you for the meal.,,496
1463.503,1464.503,Let's go.,,497
1471.928,1473.848,"Sir, a lot of sausages, please.",,498
1473.93,1475.77,-Are you a resident? -Pardon?,3.0,499
1476.975,1479.555,"-Yes. -Okay. Then, you can have three sausages.",3.0,500
1479.644,1481.654,"She told me not to give more than two,",3.0,501
1481.73,1484.15,but I gave you three since you're a resident. Next.,3.0,502
1486.109,1487.989,"-Are you an intern? -No, I'm a med student.",,503
1488.069,1489.609,My gosh. I'll give you five sausages.,3.0,504
1490.363,1491.453,Here.,3.0,505
1491.823,1492.823,There you go.,3.0,506
1493.992,1495.202,"-You, too? -Yes.",3.0,507
1495.285,1497.575,Okay. Here. There you go.,3.0,508
1499.664,1500.874,What are you doing here?,4.0,509
1500.957,1502.207,You're a professor.,3.0,510
1502.292,1503.592,You get one sausage.,3.0,511
1508.465,1510.925,"That way, I can even out the sausages.",3.0,512
1511.009,1513.799,I gave a lot of sausages to the people in front of you.,3.0,513
1513.887,1516.307,"The higher your position is, the fewer sausages you get.",3.0,514
1516.723,1517.933,Don't stand there. Keep moving.,3.0,515
1521.978,1524.018,The cafeteria lady and I are best friends.,3.0,516
1524.105,1526.605,Her son suddenly ended up at the police station.,3.0,517
1530.028,1531.988,I'm wearing gloves and a mask.,3.0,518
1532.072,1533.412,Give me one more.,4.0,519
1534.783,1536.493,-Just one more. -Get lost. Next.,4.0,520
1536.576,1537.576,Okay.,,521
1547.629,1548.669,Seriously?,,522
1550.173,1551.343,Darn it.,3.0,523
1552.509,1553.549,Gosh.,,524
1554.135,1555.135,Here.,,525
