Start,End,Text,Character,SentenceIndex,vaderNeg,vaderNeu,vaderPos,vaderCompound,roBERTaNeg,roBERTaNeu,roBERTaPos,roBERTaMajorSentiment,vaderMajorSentiment
87.504,88.514,stop .,Secondary,18,1.0,0.0,0.0,-0.296,0.45770818,0.40653712,0.13575469,Negative,Negative
96.429,99.849,let 's see . snacks sangu right .,Ahn Jeong-won,19,0.0,1.0,0.0,0.0,0.076873794,0.7820336,0.1410926,Neutral,Neutral
99.933,102.893,"oh , goodness . scared sangu ?",Secondary,20,0.367,0.253,0.38,0.0258,0.5131717,0.45609397,0.03073433,Negative,Positive
102.977,105.807,"scared sweet boy , sangu ?",Secondary,21,0.367,0.253,0.38,0.0258,0.23018786,0.7168267,0.052985415,Neutral,Positive
105.897,107.267,doctor ?,Secondary,22,0.0,1.0,0.0,0.0,0.18031448,0.73223895,0.08744653,Neutral,Neutral
108.316,110.316,"doctor , right ?",Secondary,23,0.0,1.0,0.0,0.0,0.14441319,0.7637348,0.09185198,Neutral,Neutral
110.401,112.451,'ll scold .,Secondary,24,0.73,0.27,0.0,-0.4019,0.38934788,0.53696835,0.07368376,Neutral,Negative
113.029,114.159,.,Secondary,25,0.0,0.0,0.0,0.0,0.24528693,0.51357335,0.24113972,Neutral,Positive
115.323,117.333,scolded bad doctor .,Secondary,26,0.636,0.364,0.0,-0.5423,0.7921673,0.19186988,0.015962826,Negative,Negative
118.159,122.079,"doctor , scare sangu ?",Secondary,27,0.615,0.385,0.0,-0.4939,0.16224684,0.80790424,0.029848859,Neutral,Negative
122.664,124.504,'s nice boy .,Secondary,28,0.0,0.417,0.583,0.4215,0.00792259,0.10815377,0.88392365,Positive,Positive
125.25,128.55,"doctor , wo n't scare sangu anymore , right ?",Secondary,29,0.0,0.695,0.305,0.3875,0.18008305,0.76876426,0.051152665,Neutral,Neutral
129.254,130.134,"right , doctor ?",Secondary,30,0.0,1.0,0.0,0.0,0.1456592,0.7714745,0.0828663,Neutral,Neutral
134.05,136.01,"sorry , sangu .",Ahn Jeong-won,31,0.565,0.435,0.0,-0.0772,0.4974333,0.45304358,0.049523093,Negative,Negative
136.594,138.974,'ll give snack instead shot .,Ahn Jeong-won,32,0.0,1.0,0.0,0.0,0.0876421,0.79516876,0.117189124,Neutral,Neutral
139.139,141.429,eat 're better .,Secondary,33,0.0,0.408,0.592,0.4404,0.04842052,0.4580543,0.4935251,Positive,Positive
141.516,143.016,yes . professor ahn .,Secondary,34,0.0,0.426,0.574,0.4019,0.059987206,0.6900204,0.24999247,Neutral,Positive
143.101,146.021,jisu needs peg tube changed .,Secondary,35,0.0,1.0,0.0,0.0,0.31544185,0.6489431,0.03561501,Neutral,Neutral
146.604,149.654,"excuse second , sangu . yes .",Ahn Jeong-won,36,0.0,0.333,0.667,0.4588,0.060561754,0.6749928,0.26444542,Neutral,Positive
153.528,154.898,hello .,Kim Jun-wan,37,0.0,1.0,0.0,0.0,0.09716277,0.6296369,0.27320033,Neutral,Neutral
156.823,159.243,took look ultrasound .,Kim Jun-wan,38,0.0,1.0,0.0,0.0,0.11352101,0.80990916,0.07656983,Neutral,Neutral
161.995,164.035,difficult treat antibiotics .,Kim Jun-wan,39,0.403,0.161,0.435,0.0516,0.44305408,0.5165971,0.040348805,Neutral,Positive
164.664,166.544,exactly ?,Secondary,40,0.0,1.0,0.0,0.0,0.18720923,0.7045181,0.10827263,Neutral,Neutral
166.708,169.038,infective endocarditis .,Kim Jun-wan,41,0.0,1.0,0.0,0.0,0.68024975,0.29534268,0.024407612,Negative,Neutral
169.127,171.297,'s infection endocardium .,Kim Jun-wan,42,0.0,1.0,0.0,0.0,0.51757354,0.4512469,0.031179653,Negative,Neutral
171.379,174.469,"treat antibiotics , may suffer embolism .",Kim Jun-wan,43,0.38,0.326,0.293,-0.2023,0.7051871,0.27353674,0.02127613,Negative,Negative
174.883,177.643,'m concerned infected mass might block vessels .,Kim Jun-wan,44,0.55,0.45,0.0,-0.7269,0.7712617,0.22003981,0.00869848,Negative,Negative
177.719,180.349,must get surgery soon possible . find bed ?,Kim Jun-wan,45,0.0,1.0,0.0,0.0,0.086010054,0.86307424,0.0509157,Neutral,Neutral
180.43,182.14,"yes , get checked 6 p.m .",Secondary,46,0.0,0.526,0.474,0.4019,0.028334083,0.81275314,0.15891285,Neutral,Neutral
182.223,185.023,check today let 's book surgery soon .,Kim Jun-wan,47,0.0,1.0,0.0,0.0,0.030574376,0.87334037,0.09608524,Neutral,Neutral
185.602,187.272,serious ? yes .,Secondary,48,0.325,0.0,0.675,0.34,0.034153577,0.5675113,0.39833513,Neutral,Positive
190.356,191.816,"infected mass small ,",Kim Jun-wan,49,0.615,0.385,0.0,-0.4939,0.5525908,0.42324892,0.024160324,Negative,Negative
191.9,193.99,antibiotics used break .,Kim Jun-wan,50,0.0,1.0,0.0,0.0,0.19725646,0.7506904,0.052053127,Neutral,Neutral
194.068,197.158,"ultrasound , infected mass big dangling .",Kim Jun-wan,51,0.444,0.556,0.0,-0.4939,0.44741786,0.5219242,0.030657975,Neutral,Neutral
197.238,198.908,ca n't tell fall .,Kim Jun-wan,52,0.0,1.0,0.0,0.0,0.2271056,0.69146544,0.08142894,Neutral,Neutral
199.449,201.329,"goes brain , causes stroke .",Kim Jun-wan,53,0.0,1.0,0.0,0.0,0.7555715,0.22801536,0.016413106,Negative,Neutral
201.409,203.159,"goes heart , causes heart attack .",Kim Jun-wan,54,0.437,0.563,0.0,-0.4767,0.813457,0.1715699,0.014973083,Negative,Neutral
203.244,205.124,need surgery soon .,Kim Jun-wan,55,0.0,1.0,0.0,0.0,0.4444219,0.5236945,0.03188364,Neutral,Neutral
205.747,207.827,opening surgery two three days ?,Kim Jun-wan,56,0.0,1.0,0.0,0.0,0.161509,0.8044016,0.034089323,Neutral,Neutral
207.916,210.706,", 're full . 's opening week .",Secondary,57,0.0,1.0,0.0,0.0,0.028602334,0.8281647,0.14323299,Neutral,Neutral
210.793,213.883,'ll morning must . call anesthesiology,Kim Jun-wan,58,0.0,1.0,0.0,0.0,0.08584847,0.8455031,0.06864851,Neutral,Neutral
213.963,216.673,ask help surgery two three days .,Kim Jun-wan,59,0.0,0.649,0.351,0.4019,0.11687087,0.80427134,0.07885773,Neutral,Neutral
217.258,218.178,okay .,Secondary,60,0.0,0.0,1.0,0.2263,0.11996016,0.5391302,0.34090966,Neutral,Positive
218.259,222.719,"doctor , daughter getting married three days .",Secondary,61,0.0,1.0,0.0,0.0,0.047928534,0.7959584,0.15611309,Neutral,Neutral
223.306,225.226,postpone surgery next week ?,Secondary,62,0.388,0.612,0.0,-0.2263,0.08721386,0.88357574,0.029210415,Neutral,Neutral
225.808,226.848,", .",Kim Jun-wan,63,0.0,0.0,0.0,0.0,0.23276104,0.57723576,0.19000316,Neutral,Positive
227.435,229.595,'s couple days .,Secondary,64,0.0,1.0,0.0,0.0,0.06770081,0.7489253,0.18337391,Neutral,Neutral
230.396,233.016,would n't okay ? .,Secondary,65,0.454,0.546,0.0,-0.1695,0.43384144,0.53896695,0.02719166,Neutral,Neutral
233.107,235.067,want end life .,Kim Jun-wan,66,0.0,0.606,0.394,0.0772,0.7535375,0.21991706,0.026545431,Negative,Neutral
235.693,238.533,"dad , talking ? n't foolish .",Secondary,67,0.0,0.623,0.377,0.2057,0.26944092,0.6530086,0.07755053,Neutral,Neutral
239.113,240.703,wedding n't 's important .,Secondary,68,0.347,0.653,0.0,-0.1511,0.4068967,0.54597497,0.047128372,Neutral,Neutral
241.366,243.116,look wedding photos .,Kim Jun-wan,69,0.0,1.0,0.0,0.0,0.048405353,0.85564804,0.09594661,Neutral,Neutral
243.201,244.831,ask take lots photos .,Kim Jun-wan,70,0.0,1.0,0.0,0.0,0.027030008,0.6788765,0.29409346,Neutral,Neutral
245.453,248.163,'ll see tomorrow rounds .,Kim Jun-wan,71,0.0,1.0,0.0,0.0,0.027105674,0.8514591,0.12143524,Neutral,Neutral
250.208,252.378,let go need .,Secondary,72,0.0,1.0,0.0,0.0,0.13273942,0.70183134,0.16542923,Neutral,Neutral
253.836,256.756,"first , head left blood sample drawn .",Secondary,73,0.0,1.0,0.0,0.0,0.18899319,0.7829188,0.02808804,Neutral,Neutral
256.839,258.719,doctor rude ?,Secondary,74,0.75,0.25,0.0,-0.4588,0.64304245,0.333914,0.023043593,Negative,Negative
259.759,262.099,sorry . well aware .,Secondary,75,0.295,0.227,0.477,0.2023,0.3323578,0.58409363,0.08354861,Neutral,Positive
263.513,265.143,"second , get ekg room",Secondary,76,0.0,1.0,0.0,0.0,0.17531516,0.7278942,0.09679068,Neutral,Neutral
265.223,267.933,right next blood sample drawn .,Secondary,77,0.0,1.0,0.0,0.0,0.11564492,0.8547816,0.029573372,Neutral,Neutral
268.017,269.307,third ... well ...,Secondary,78,0.0,0.588,0.412,0.2732,0.17161044,0.76521146,0.063178115,Neutral,Neutral
269.602,271.942,aged 78. name im giyeong .,Secondary,79,0.0,1.0,0.0,0.0,0.036317527,0.86044747,0.10323507,Neutral,Neutral
272.021,274.611,underwent coiling month ago due sah .,Secondary,80,0.0,1.0,0.0,0.0,0.14985494,0.8110672,0.03907781,Neutral,Neutral
275.483,277.943,showed symptoms leg weakness dementia three days ago,Secondary,81,0.286,0.714,0.0,-0.4215,0.613303,0.37435853,0.012338489,Negative,Neutral
278.027,279.447,readmitted .,Secondary,82,0.0,1.0,0.0,0.0,0.19896357,0.6664115,0.13462493,Neutral,Neutral
279.529,281.859,ct scan revealed hydrocephalus .,Secondary,83,0.0,1.0,0.0,0.0,0.6025307,0.37730902,0.020160278,Negative,Neutral
282.949,286.619,seems ivh accompanied sah gone .,Secondary,84,0.0,1.0,0.0,0.0,0.23239222,0.71895176,0.04865598,Neutral,Neutral
286.703,287.623,evd ...,Secondary,85,0.0,1.0,0.0,0.0,0.16605996,0.7015242,0.13241588,Neutral,Neutral
290.248,291.538,'s . 'm sorry .,Secondary,86,0.394,0.606,0.0,-0.0772,0.57861745,0.38173643,0.039646156,Negative,Neutral
293.626,295.546,think perform vp shunt .,Secondary,87,0.0,1.0,0.0,0.0,0.06067688,0.8793602,0.059962876,Neutral,Neutral
296.045,298.085,n't memorized ?,Chae Song-hwa,88,0.0,1.0,0.0,0.0,0.2973699,0.6572177,0.045412414,Neutral,Neutral
298.715,299.915,'re right .,Secondary,89,0.0,1.0,0.0,0.0,0.07845135,0.52208316,0.39946547,Neutral,Neutral
300.675,302.885,sure needs vp shunt ? yes .,Chae Song-hwa,90,0.0,0.375,0.625,0.6124,0.03428142,0.7612988,0.20441975,Neutral,Positive
305.388,306.598,.,Secondary,91,0.0,0.0,0.0,0.0,0.24528693,0.51357335,0.24113972,Neutral,Positive
307.807,310.437,"wrong ? yes , think .",Secondary,92,0.456,0.147,0.397,-0.1027,0.20016785,0.7081522,0.09167994,Neutral,Negative
311.227,313.347,really ? think 's right .,Chae Song-hwa,93,0.0,1.0,0.0,0.0,0.042594016,0.60337234,0.35403365,Neutral,Neutral
316.774,318.614,next round .,Chae Song-hwa,94,0.0,1.0,0.0,0.0,0.11585076,0.6744923,0.20965695,Neutral,Neutral
318.693,321.033,prepare summary relevant papers surgical cases .,Chae Song-hwa,95,0.0,1.0,0.0,0.0,0.0884342,0.84512067,0.066445075,Neutral,Neutral
321.112,322.112,okay .,Secondary,96,0.0,0.0,1.0,0.2263,0.11996016,0.5391302,0.34090966,Neutral,Positive
322.447,323.737,", . okay .",Secondary,97,0.0,0.0,1.0,0.2263,0.07531829,0.64934695,0.2753347,Neutral,Positive
330.079,331.909,"professor chae , lunch yet ?",Secondary,98,0.0,1.0,0.0,0.0,0.05681195,0.8933861,0.04980192,Neutral,Neutral
331.998,333.708,got new restaurant deliver us .,Secondary,99,0.0,1.0,0.0,0.0,0.019880343,0.65439576,0.32572392,Neutral,Neutral
334.125,335.875,one ? seafood stew restaurant .,Chae Song-hwa,100,0.0,1.0,0.0,0.0,0.04181682,0.864296,0.09388714,Neutral,Neutral
336.294,337.634,'s much delivery food .,Chae Song-hwa,101,0.0,1.0,0.0,0.0,0.07084438,0.7416336,0.18752201,Neutral,Neutral
337.712,339.922,also wonderful haemulpajeon .,Secondary,102,0.0,0.351,0.649,0.5719,0.0021901815,0.05728581,0.94052404,Positive,Positive
340.006,342.006,join us . 'll set office .,Secondary,103,0.0,0.645,0.355,0.296,0.010815654,0.7164928,0.27269158,Neutral,Neutral
342.425,344.465,go ahead without . 'll eat guys .,Chae Song-hwa,104,0.0,1.0,0.0,0.0,0.10136784,0.79279757,0.10583457,Neutral,Neutral
344.552,345.682,guys ?,Secondary,105,0.0,1.0,0.0,0.0,0.13135843,0.74871147,0.11993014,Neutral,Neutral
345.762,346.722,gongnyong ridge,Secondary,106,0.0,1.0,0.0,0.0,0.12024117,0.7103191,0.1694397,Neutral,Neutral
346.804,348.144,songhwa : lunch ? seokhyeong : okay,Secondary,107,0.0,0.612,0.388,0.2263,0.0125724925,0.8133599,0.17406757,Neutral,Neutral
348.222,350.602,give minute,Secondary,108,0.0,1.0,0.0,0.0,0.22260591,0.5910566,0.18633755,Neutral,Neutral
350.683,354.813,'s important moment life,Lee Ik-joon,109,0.0,0.625,0.375,0.2023,0.0129229035,0.32987526,0.6572018,Positive,Neutral
374.123,377.673,"gyeoul , residents rarely get see mesocaval shunt person .",Secondary,110,0.0,1.0,0.0,0.0,0.2721875,0.68554294,0.042269535,Neutral,Neutral
377.752,379.712,? told talk .,Lee Ik-joon,111,0.0,1.0,0.0,0.0,0.13295001,0.7872549,0.07979512,Neutral,Neutral
379.796,381.506,get . let 's play fair .,Secondary,112,0.0,0.39,0.61,0.5719,0.05933751,0.68432176,0.2563407,Neutral,Positive
381.589,382.919,? n't anything .,Secondary,113,0.0,1.0,0.0,0.0,0.57073295,0.3976191,0.031647917,Negative,Neutral
383.007,384.877,"start talking , ? well ...",Secondary,114,0.0,0.588,0.412,0.2732,0.19847551,0.74804854,0.053475965,Neutral,Neutral
385.259,386.549,...,Secondary,115,0.0,1.0,0.0,0.0,0.23258078,0.620445,0.14697418,Neutral,Neutral
391.224,392.814,decided 's seafood stew .,Ahn Jeong-won,116,0.0,1.0,0.0,0.0,0.05836632,0.8605437,0.081089884,Neutral,Neutral
392.892,395.272,'m allergic songhwa wants seafood stew .,Lee Ik-joon,117,0.306,0.694,0.0,-0.296,0.4772839,0.46696696,0.05574921,Negative,Neutral
395.353,398.193,'re waiting gyeoul come quiet .,Lee Ik-joon,118,0.0,1.0,0.0,0.0,0.08274613,0.7800323,0.13722162,Neutral,Neutral
398.856,399.896,gyeoul ?,Lee Ik-joon,119,0.0,1.0,0.0,0.0,0.12613662,0.77566284,0.09820061,Neutral,Neutral
401.984,404.614,'s right . 's pressure .,Secondary,120,0.423,0.577,0.0,-0.296,0.117574625,0.735642,0.14678337,Neutral,Neutral
405.363,406.453,take pick .,Secondary,121,0.0,1.0,0.0,0.0,0.17722799,0.62482846,0.1979436,Neutral,Neutral
406.531,408.661,course . understand .,Secondary,122,0.0,1.0,0.0,0.0,0.080522716,0.6639562,0.25552112,Neutral,Neutral
408.741,411.241,'re fine . understand everything .,Secondary,123,0.0,0.625,0.375,0.2023,0.012076127,0.22271477,0.76520914,Positive,Neutral
411.911,413.081,...,Secondary,124,0.0,1.0,0.0,0.0,0.23258078,0.620445,0.14697418,Neutral,Neutral
417.625,419.335,choose hpd .,Secondary,125,0.0,1.0,0.0,0.0,0.14961545,0.7398065,0.11057808,Neutral,Neutral
419.419,421.089,come ! gosh .,Secondary,126,0.0,1.0,0.0,0.0,0.3856279,0.48515373,0.12921837,Neutral,Neutral
422.046,424.466,"come . hemicolectomy great choice , .",Secondary,127,0.0,0.423,0.577,0.6249,0.0136109525,0.20203698,0.7843521,Positive,Positive
425.383,426.633,gosh . darn .,Secondary,128,0.0,1.0,0.0,0.0,0.6847094,0.2827182,0.032572385,Negative,Neutral
426.717,428.757,guardians must .,Secondary,129,0.0,1.0,0.0,0.0,0.17406295,0.71541,0.110526994,Neutral,Neutral
429.053,432.273,goodness . mean ... ?,Secondary,130,0.0,0.4,0.6,0.4588,0.1671477,0.70680684,0.12604554,Neutral,Positive
434.1,436.52,let 's go . songhwa ordered bigeyed herring .,Ahn Jeong-won,131,0.0,1.0,0.0,0.0,0.046627466,0.7893795,0.16399303,Neutral,Neutral
436.602,437.482,junwan ?,Lee Ik-joon,132,0.0,1.0,0.0,0.0,0.13959147,0.7714455,0.088963084,Neutral,Neutral
437.562,440.192,'s picu . guess wo n't joining us .,Lee Ik-joon,133,0.0,1.0,0.0,0.0,0.29224014,0.6661666,0.041593257,Neutral,Neutral
441.524,443.154,yulje medical center,Secondary,134,0.0,1.0,0.0,0.0,0.11785365,0.8027189,0.0794275,Neutral,Neutral
445.945,447.695,'s huidong 's weight today ?,Kim Jun-wan,135,0.0,1.0,0.0,0.0,0.046139188,0.9267542,0.02710673,Neutral,Neutral
447.78,449.12,'s three kilograms .,Secondary,136,0.0,1.0,0.0,0.0,0.13361236,0.67296475,0.19342296,Neutral,Neutral
460.209,462.839,close . let 's get ready .,Kim Jun-wan,137,0.0,0.615,0.385,0.3612,0.03873662,0.7520006,0.2092628,Neutral,Neutral
465.131,466.421,'s jaehak ?,Secondary,138,0.0,1.0,0.0,0.0,0.067891225,0.8621953,0.0699134,Neutral,Neutral
466.507,469.217,went get med students earlier .,Secondary,139,0.0,1.0,0.0,0.0,0.06269977,0.87244594,0.06485431,Neutral,Neutral
469.635,472.215,right . guess 's suited .,Kim Jun-wan,140,0.0,1.0,0.0,0.0,0.08495733,0.73088866,0.18415399,Neutral,Neutral
472.305,473.425,let 's get started .,Kim Jun-wan,141,0.0,1.0,0.0,0.0,0.048438292,0.6352501,0.31631157,Neutral,Neutral
474.724,477.894,cs lot emergency surgeries . cases dramatic .,Secondary,142,0.342,0.658,0.0,-0.3818,0.33745533,0.5889491,0.073595636,Neutral,Neutral
478.394,480.734,someone fine morning,Secondary,143,0.0,0.526,0.474,0.2023,0.007796637,0.1135714,0.878632,Positive,Neutral
480.813,482.323,could dead afternoon cs .,Secondary,144,0.589,0.411,0.0,-0.6486,0.25831974,0.6753619,0.0663183,Neutral,Negative
483.608,486.238,know best cardiothoracic surgeon ?,Secondary,145,0.0,0.417,0.583,0.6369,0.07617854,0.8651254,0.05869611,Neutral,Positive
487.945,488.985,ji sung .,Secondary,146,0.0,1.0,0.0,0.0,0.04920428,0.74487376,0.205922,Neutral,Neutral
490.198,492.158,? ji sung new heart .,Secondary,147,0.0,1.0,0.0,0.0,0.026892046,0.82362854,0.14947937,Neutral,Neutral
492.241,493.911,'ve watched medical dramas since ten .,Secondary,148,0.0,1.0,0.0,0.0,0.073787965,0.85680646,0.06940559,Neutral,Neutral
494.619,495.699,.,Secondary,149,0.0,0.0,0.0,0.0,0.24528693,0.51357335,0.24113972,Neutral,Positive
495.786,497.656,teacher kim dr. romantic ?,Secondary,150,0.0,0.526,0.474,0.4019,0.07430786,0.8904038,0.035288356,Neutral,Neutral
499.79,501.5,names cheol miae ?,Secondary,151,0.0,1.0,0.0,0.0,0.16418052,0.7667368,0.0690827,Neutral,Neutral
501.584,503.674,'re hongdo yunbok . hongdo yunbok .,Secondary,152,0.0,1.0,0.0,0.0,0.05078499,0.81201476,0.1372002,Neutral,Neutral
503.753,505.003,"guys , listen .",Secondary,153,0.0,1.0,0.0,0.0,0.09370969,0.7882381,0.11805219,Neutral,Neutral
505.087,508.087,great doctors like n't exist hospital .,Secondary,154,0.0,0.377,0.623,0.765,0.23865452,0.5565963,0.2047492,Neutral,Positive
508.966,511.046,'s thanos .,Secondary,155,0.0,1.0,0.0,0.0,0.068862215,0.79831606,0.1328217,Neutral,Neutral
511.636,512.886,'ll meet soon .,Secondary,156,0.0,1.0,0.0,0.0,0.016156448,0.6787209,0.30512264,Neutral,Neutral
516.557,518.597,"yes , sir . ?",Secondary,157,0.0,0.27,0.73,0.4019,0.08516825,0.81953704,0.09529473,Neutral,Positive
519.352,520.562,'m way .,Secondary,158,0.0,1.0,0.0,0.0,0.13703008,0.6153558,0.24761412,Neutral,Neutral
531.906,534.156,perform surgery ? yes .,Secondary,159,0.0,0.426,0.574,0.4019,0.031187544,0.8243382,0.1444743,Neutral,Positive
535.076,538.616,'s dangerous move patient many drips .,Secondary,160,0.383,0.617,0.0,-0.4767,0.6656073,0.31346944,0.020923318,Negative,Neutral
548.839,550.129,gyeonu jiknyeo ?,Kim Jun-wan,161,0.0,1.0,0.0,0.0,0.06591536,0.87595826,0.058126412,Neutral,Neutral
551.008,552.588,'re hongdo yunbok .,Secondary,162,0.0,1.0,0.0,0.0,0.045230895,0.84675074,0.10801842,Neutral,Neutral
553.553,556.063,third year med school ? yes .,Kim Jun-wan,163,0.0,0.597,0.403,0.4019,0.022268701,0.78614837,0.19158286,Neutral,Neutral
557.974,559.354,pay attention . okay .,Kim Jun-wan,164,0.326,0.233,0.442,0.128,0.0670465,0.68295467,0.24999878,Neutral,Positive
560.142,561.232,"professor ,",Secondary,165,0.0,1.0,0.0,0.0,0.19909723,0.5998428,0.20105997,Neutral,Neutral
561.31,563.65,"surgery difficult ? baby live , right ?",Secondary,166,0.417,0.583,0.0,-0.4329,0.35990027,0.5872894,0.052810352,Neutral,Neutral
563.729,566.519,"four days ago , tga , transposition great arteries .",Kim Jun-wan,167,0.0,0.594,0.406,0.6249,0.037462316,0.7766963,0.18584128,Neutral,Neutral
566.607,568.937,heart swelling severe . could n't close .,Kim Jun-wan,168,0.342,0.658,0.0,-0.3818,0.8132314,0.1682833,0.018485337,Negative,Neutral
571.737,575.157,"seeing heart today , might able close . , 'll .",Kim Jun-wan,169,0.0,1.0,0.0,0.0,0.01146176,0.54589915,0.44263908,Neutral,Neutral
576.117,577.447,"live , right ?",Secondary,170,0.0,1.0,0.0,0.0,0.1067608,0.7951444,0.09809485,Neutral,Neutral
577.535,579.405,'m closing 's better .,Kim Jun-wan,171,0.0,0.508,0.492,0.4404,0.021592475,0.40518937,0.5732181,Positive,Neutral
581.163,582.503,"jaehak , bring .",Secondary,172,0.0,1.0,0.0,0.0,0.04263851,0.82975096,0.12761055,Neutral,Neutral
583.624,584.464,pardon ?,Secondary,173,0.0,0.0,1.0,0.3182,0.17560384,0.719121,0.10527518,Neutral,Positive
585.293,586.343,see . okay .,Secondary,174,0.0,0.345,0.655,0.2263,0.0793793,0.6550711,0.26554966,Neutral,Positive
592.967,595.217,think 're ? 'll contaminate .,Kim Jun-wan,175,0.0,1.0,0.0,0.0,0.52899724,0.44961342,0.021389365,Negative,Neutral
597.138,598.138,death wish ?,Kim Jun-wan,176,0.591,0.0,0.409,-0.296,0.5821541,0.40258262,0.015263325,Negative,Negative
599.682,600.602,means guardians .,Secondary,177,0.0,1.0,0.0,0.0,0.114359565,0.8028941,0.082746364,Neutral,Neutral
609.775,612.525,"sir , chanhyeong slight fever .",Secondary,178,0.0,1.0,0.0,0.0,0.14655383,0.75966895,0.09377721,Neutral,Neutral
614.739,615.869,since ?,Kim Jun-wan,179,0.0,1.0,0.0,0.0,0.19002607,0.6909418,0.119032145,Neutral,Neutral
616.407,618.737,"checked 8 a.m. , 36degc .",Secondary,180,0.0,1.0,0.0,0.0,0.0291038,0.83883524,0.13206099,Neutral,Neutral
618.826,621.786,"checked 's 38.3degc . nose little runny , .",Secondary,181,0.0,1.0,0.0,0.0,0.14510445,0.74337894,0.111516625,Neutral,Neutral
623.247,626.127,perform surgery today ? let see .,Secondary,182,0.0,1.0,0.0,0.0,0.05332015,0.9161768,0.030503022,Neutral,Neutral
637.011,639.811,"lung n't sound good , either . ca n't operate like .",Kim Jun-wan,183,0.392,0.608,0.0,-0.5448,0.86135375,0.12818557,0.010460619,Negative,Neutral
640.556,643.016,give five minutes . remove membrane .,Secondary,184,0.0,1.0,0.0,0.0,0.1437192,0.78419435,0.07208643,Neutral,Neutral
643.934,645.604,touch baby ?,Secondary,185,0.0,1.0,0.0,0.0,0.11810143,0.798737,0.08316156,Neutral,Neutral
645.686,647.056,disinfected hands . okay .,Secondary,186,0.0,0.513,0.487,0.2263,0.5167751,0.43691298,0.046311934,Negative,Neutral
654.987,657.617,'s wrong baby ?,Secondary,187,0.608,0.392,0.0,-0.4767,0.40540016,0.5652046,0.02939516,Neutral,Negative
657.698,660.578,"jaehak , get chanhyeong 's guardians .",Kim Jun-wan,188,0.0,1.0,0.0,0.0,0.06456324,0.84426767,0.0911691,Neutral,Neutral
661.452,663.872,tetralogy fallot . 's congenital heart defect .,Kim Jun-wan,189,0.324,0.676,0.0,-0.34,0.5716554,0.4064469,0.021897722,Negative,Neutral
663.954,666.334,"ventricular septal defect , pulmonary stenosis ,",Kim Jun-wan,190,0.375,0.625,0.0,-0.34,0.44111502,0.53414136,0.024743605,Neutral,Neutral
666.415,669.085,"right ventricular hypertrophy , overriding aorta , together .",Kim Jun-wan,191,0.0,1.0,0.0,0.0,0.027056957,0.86640084,0.10654219,Neutral,Neutral
